backend,run,srcversion,flows,masks_total,hit_per_pkt,ohash_children,ohash_self,masked_children,masked_self,cycles,instructions,ipc,soft_pct,pps
jhash,1,9934512B440806A9DEFA77A,15439,7,4.02,8.94,8.88,29.82,21.93,43225547946,70471040553,1.63,68.46,753011
jhash,2,9934512B440806A9DEFA77A,15439,7,4.01,8.87,8.83,30.11,22.39,43595374924,75481981973,1.73,67.54,774629
jhash,5,9934512B440806A9DEFA77A,15439,7,4.01,9.04,8.99,28.19,20.23,44051680248,77366767701,1.76,67.00,816794
jhash,6,9934512B440806A9DEFA77A,15440,8,4.01,9.08,9.04,28.51,20.54,44014290457,78533662785,1.78,67.19,825650
jhash,7,9934512B440806A9DEFA77A,15439,7,4.00,8.95,8.91,28.66,20.82,43977446408,77903640965,1.77,67.30,820603
jhash,8,9934512B440806A9DEFA77A,15439,7,4.00,9.04,8.99,28.52,20.49,44043835232,78848901570,1.79,66.76,821098
jhash,9,9934512B440806A9DEFA77A,15439,7,4.00,8.86,8.82,28.08,20.33,44017467248,78708979371,1.79,66.78,822833
jhash,10,9934512B440806A9DEFA77A,15439,7,4.00,9.3,9.26,28.07,19.88,44029636616,78229679995,1.78,66.79,825202
