NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.197s, table=0, n_packets=29068, n_bytes=1860352, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9001 actions=drop
 cookie=0x0, duration=947.197s, table=0, n_packets=29053, n_bytes=1859392, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9002 actions=output:2
 cookie=0x0, duration=947.197s, table=0, n_packets=29200, n_bytes=1868800, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9003 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29150, n_bytes=1865600, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9004 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28840, n_bytes=1845760, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9005 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29194, n_bytes=1868416, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9006 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28978, n_bytes=1854592, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9007 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29022, n_bytes=1857408, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9008 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=29037, n_bytes=1858368, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9009 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28869, n_bytes=1847616, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9010 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=29074, n_bytes=1860736, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9011 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28938, n_bytes=1852032, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9012 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28979, n_bytes=1854656, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9013 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29037, n_bytes=1858368, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9014 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28823, n_bytes=1844672, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9015 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28766, n_bytes=1841024, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9016 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28954, n_bytes=1853056, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9017 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28974, n_bytes=1854336, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9018 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20002,tp_dst=9019 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28967, n_bytes=1853888, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9000 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29205, n_bytes=1869120, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9001 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=28857, n_bytes=1846848, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9002 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=28906, n_bytes=1849984, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9003 actions=output:2
