NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=406.942s, table=0, n_packets=5098, n_bytes=326272, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9041 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5169, n_bytes=330816, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9042 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5076, n_bytes=324864, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9043 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5208, n_bytes=333312, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9044 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5079, n_bytes=325056, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9045 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5179, n_bytes=331456, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9046 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5134, n_bytes=328576, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9047 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5018, n_bytes=321152, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9048 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=0, n_bytes=0, idle_age=406, priority=100,udp,tp_src=20000,tp_dst=9049 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5122, n_bytes=327808, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9000 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5134, n_bytes=328576, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9001 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5257, n_bytes=336448, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9002 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5046, n_bytes=322944, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9003 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5124, n_bytes=327936, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9004 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5146, n_bytes=329344, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9005 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5046, n_bytes=322944, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9006 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5156, n_bytes=329984, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9007 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5143, n_bytes=329152, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9008 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=4976, n_bytes=318464, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9009 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5190, n_bytes=332160, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9010 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5322, n_bytes=340608, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9011 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5318, n_bytes=340352, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9012 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5217, n_bytes=333888, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9013 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5089, n_bytes=325696, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9014 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5243, n_bytes=335552, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9015 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5255, n_bytes=336320, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9016 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5193, n_bytes=332352, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9017 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5215, n_bytes=333760, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9018 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5167, n_bytes=330688, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9019 actions=output:2
 cookie=0x0, duration=406.941s, table=0, n_packets=5139, n_bytes=328896, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9020 actions=drop
 cookie=0x0, duration=406.941s, table=0, n_packets=5245, n_bytes=335680, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9021 actions=output:2
